respondent_id,A1_zone,A2_business_type,A3_years_operating,A4_daily_revenue,A5_employees,A6_bank_account,A7_mobile_wallet,A8_smartphone,B1a_qr_display,B1b_qr_registered,B2_provider,B3_daily_customers,B4_no_qr_situation,B5_received_digital,B6_inspected,C1_cashless_kp_awareness,C2_mandate_awareness,C3_safe_harbour_aware,C4_tax_burden_belief,C5_payment_trust,C6_record_fear,C7_training_received,C8_would_register_if_no_tax,C9_dispute_resolution_aware,D1_no_smartphone,D2_internet_unreliable,D3_dont_know_how,D4_process_complex,D5_fees_high,D6_customers_prefer_cash,D7_audit_fear,D8_distrust_safety,D9_amounts_too_small,D10_no_peer_pressure,D11_customer_demand_est,D12_peer_will_register,E1_willingness,E2_pref_1,E2_pref_2,E3_paymir_awareness,E4_cash_incentive_effect,E5_trusted_info_source,E6_followup_consent,F1_open_ended,B1b_registered_binary,vendor_food,has_bank_account,has_mobile_wallet,has_smartphone
KHT-0106,2,3,4,2,3,1,3,2,0,,,,4.0,2,2,3,2,1,2,3,3,4,4,0,3,3,2,4,4,4,3,3,2,3,4,2,2,1,2,3,3,7,1,Hamari dukan chhoti hai digital ki zaroorat nahi,0,0,1,0,0
KHT-0107,3,1,1,3,1,3,3,3,0,,,,3.0,3,2,3,2,0,1,3,1,3,2,0,3,2,1,2,3,5,4,2,3,3,2,3,3,1,6,3,1,6,2,Paisa account mein aata hai toh KPRA dekh leta hai,0,1,0,0,0
KHT-0108,1,5,3,3,1,2,1,2,1,2.0,3.0,3.0,,1,1,3,2,0,2,2,2,4,1,0,2,2,3,3,3,3,4,2,1,5,1,3,1,1,4,1,2,7,2,Mere grahak cash hi dete hain,0,0,0,1,0
KHT-0109,2,3,3,3,1,1,2,1,1,2.0,4.0,1.0,,3,2,3,2,1,2,1,3,4,2,0,1,1,2,2,4,3,2,5,3,3,3,4,1,2,6,2,2,1,1,Paisa account mein aata hai toh KPRA dekh leta hai,0,0,1,0,1
KHT-0110,2,3,2,3,5,2,3,2,1,2.0,2.0,3.0,,1,2,3,2,0,1,4,2,4,2,0,1,3,3,2,2,2,3,2,2,4,2,3,1,5,4,2,1,3,1,Sab log cash mein karte hain toh main kyun badulon?,0,0,0,0,0
KHT-0111,1,5,2,1,2,3,3,2,0,,,,3.0,3,1,3,2,1,2,1,2,2,3,0,2,4,3,2,4,2,1,3,1,3,1,3,1,5,3,3,1,6,2,Darr hai ke FBR aa jaye ga,0,0,0,0,0
KHT-0112,3,1,3,4,1,1,3,1,0,,,,3.0,1,2,3,2,0,1,5,1,3,4,1,2,2,3,3,2,4,4,3,2,3,3,5,1,6,4,2,1,7,1,Hamari dukan chhoti hai digital ki zaroorat nahi,0,1,1,0,1
KHT-0113,1,2,2,3,4,3,3,2,1,2.0,2.0,1.0,,3,2,2,2,0,2,2,1,4,2,0,3,3,3,3,1,2,4,2,2,4,0,3,2,6,1,3,1,2,1,Internet sahi nahi hota yahan,0,0,0,0,0
KHT-0114,1,2,1,2,5,3,1,1,0,,,,4.0,3,1,1,2,0,2,1,2,2,3,0,3,4,3,3,3,2,4,2,3,3,4,2,1,3,1,3,5,1,2,Darr hai ke FBR aa jaye ga,0,0,0,1,1
KHT-0115,3,6,2,2,2,3,3,1,0,,,,3.0,3,2,3,2,0,1,3,2,4,1,0,1,3,5,3,2,4,4,2,3,4,6,4,2,2,3,3,1,5,1,Registration ka tareeqa bohat mushkil lagta hai,0,0,0,0,1
KHT-0116,2,5,2,3,2,1,3,1,1,2.0,3.0,3.0,,1,1,3,1,1,3,2,3,1,2,0,1,2,1,3,2,1,1,2,2,4,2,5,3,4,6,3,2,2,2,Paisa account mein aata hai toh KPRA dekh leta hai,0,0,1,0,1
KHT-0117,2,1,3,3,1,1,2,1,1,1.0,1.0,2.0,,3,2,3,3,0,2,4,1,4,1,0,2,3,3,4,3,4,2,2,4,3,1,3,1,4,2,3,2,5,1,Sab log cash mein karte hain toh main kyun badulon?,1,1,1,0,1
KHT-0118,2,3,3,2,4,2,1,1,0,,,,3.0,3,2,2,2,0,2,2,1,4,3,0,2,2,2,5,4,3,4,3,1,2,2,3,2,4,5,3,1,5,1,Internet sahi nahi hota yahan,0,0,0,1,1
KHT-0119,3,1,3,3,1,1,3,1,0,,,,1.0,2,2,3,2,0,2,1,1,3,2,0,2,1,4,2,3,4,2,2,2,5,3,4,3,3,7,3,1,5,1,Sab log cash mein karte hain toh main kyun badulon?,0,1,1,0,1
KHT-0120,3,1,2,2,1,3,2,1,0,,,,4.0,3,2,2,2,0,1,1,2,2,3,0,1,3,2,4,2,3,4,2,2,3,4,5,3,2,3,3,3,2,2,Mere grahak cash hi dete hain,0,1,0,0,1
KHT-0121,2,5,2,3,1,1,3,2,1,2.0,1.0,2.0,,3,2,3,2,0,1,4,1,4,1,0,1,1,2,1,2,4,4,3,1,1,0,1,3,1,3,3,2,1,1,Darr hai ke FBR aa jaye ga,0,0,1,0,0
KHT-0122,3,3,2,2,1,3,3,2,0,,,,3.0,2,2,3,2,0,1,5,2,4,3,0,1,2,3,4,3,4,2,2,3,2,2,3,1,5,7,3,1,4,1,Hamari dukan chhoti hai digital ki zaroorat nahi,0,0,0,0,0
KHT-0123,3,1,2,2,2,3,2,2,0,,,,4.0,3,2,3,2,0,1,2,1,4,1,0,1,4,3,1,3,3,4,2,3,3,0,5,3,5,6,3,1,4,2,Mujhe pata nahi tha ke kaise register karein,0,1,0,0,0
KHT-0124,1,5,2,2,2,3,1,1,1,1.0,1.0,4.0,,3,2,2,2,0,2,4,1,4,5,0,3,2,1,4,2,2,4,3,2,2,3,3,1,5,3,3,2,3,2,Registration ka tareeqa bohat mushkil lagta hai,1,0,0,1,1
KHT-0125,2,4,3,3,4,3,1,1,0,,,,4.0,3,1,2,2,0,2,1,1,4,1,0,2,2,4,3,2,3,3,2,3,3,0,3,2,7,4,2,1,4,2,Mere grahak cash hi dete hain,0,0,0,1,1
KHT-0126,2,1,1,1,3,3,3,1,0,,,,3.0,3,2,3,3,0,2,1,3,3,1,1,2,1,3,2,1,2,3,2,3,1,0,4,2,4,6,3,1,2,1,Jab safe harbour ka pata chala to main ne register kar liya,0,1,0,0,1
KHT-0127,1,1,3,2,2,1,1,2,1,2.0,1.0,2.0,,3,2,3,2,1,2,2,4,4,1,0,2,2,4,2,2,2,2,2,3,4,2,4,2,1,7,3,2,3,1,Paisa account mein aata hai toh KPRA dekh leta hai,0,1,1,1,0
KHT-0128,1,1,1,2,1,1,2,1,1,1.0,1.0,2.0,,3,2,3,2,0,2,3,3,4,2,1,1,3,3,1,2,3,3,4,3,4,3,3,1,3,6,3,2,4,1,Sab log cash mein karte hain toh main kyun badulon?,1,1,1,0,1
KHT-0129,2,3,2,4,1,1,2,2,0,,,,3.0,3,2,3,3,0,2,4,2,3,3,0,1,1,2,1,4,3,2,2,1,2,5,5,3,6,7,3,1,2,1,Fees zyada hain wallets ki,0,0,1,0,0
KHT-0130,2,3,3,2,1,3,3,1,1,1.0,2.0,2.0,,2,2,2,2,1,3,3,4,2,2,0,1,2,3,2,2,2,1,2,1,2,3,3,3,2,5,3,1,3,1,Jab safe harbour ka pata chala to main ne register kar liya,1,0,0,0,1
KHT-0131,3,3,2,1,3,3,3,1,0,,,,3.0,3,2,3,3,0,1,5,1,4,1,1,1,2,4,2,3,4,4,3,5,4,3,4,1,6,5,3,1,5,2,Mere grahak cash hi dete hain,0,0,0,0,1
KHT-0132,1,1,4,1,1,2,3,1,1,3.0,2.0,2.0,,2,2,2,2,1,2,1,2,2,2,0,1,3,2,4,3,3,1,2,3,5,4,5,3,1,3,3,3,1,2,Internet sahi nahi hota yahan,0,1,0,0,1
KHT-0133,2,6,4,4,2,1,2,2,0,,,,3.0,1,2,2,3,1,2,3,3,4,5,0,3,1,2,2,3,5,4,2,3,3,4,4,3,1,7,2,1,6,1,Jab safe harbour ka pata chala to main ne register kar liya,0,0,1,0,0
KHT-0134,3,5,1,2,1,3,1,2,0,,,,3.0,1,2,3,2,0,1,2,2,4,4,0,2,2,3,5,2,3,5,2,4,3,6,3,2,4,2,3,1,5,2,Mujhe pata nahi tha ke kaise register karein,0,0,0,1,0
KHT-0135,2,1,2,3,2,1,3,1,1,1.0,5.0,1.0,,2,1,3,2,1,2,1,2,4,1,1,2,4,1,4,2,4,1,3,3,4,0,1,2,7,4,3,2,2,2,Fees zyada hain wallets ki,1,1,1,0,1
KHT-0136,2,4,3,2,1,1,1,2,0,,,,3.0,2,2,2,3,0,1,3,1,3,3,0,1,2,3,3,3,2,4,3,3,2,0,5,4,4,3,3,3,7,2,Internet sahi nahi hota yahan,0,0,1,1,0
KHT-0137,1,2,3,2,3,3,1,1,0,,,,4.0,2,2,3,2,1,2,2,3,4,1,0,1,3,4,2,3,3,2,4,3,4,7,2,2,2,3,3,1,5,2,Jab safe harbour ka pata chala to main ne register kar liya,0,0,0,1,1
KHT-0138,3,1,2,2,1,2,1,1,0,,,,2.0,3,1,3,2,0,2,2,1,2,2,0,1,4,3,2,3,4,2,3,2,1,3,1,2,7,1,3,1,7,2,Mere grahak cash hi dete hain,0,1,0,1,1
KHT-0139,3,3,4,2,2,2,3,1,0,,,,3.0,2,2,3,2,0,2,2,2,3,3,0,1,3,2,2,4,5,4,1,2,3,5,2,1,7,4,3,4,1,2,Registration ka tareeqa bohat mushkil lagta hai,0,0,0,0,1
KHT-0140,3,3,4,3,1,1,3,3,1,1.0,3.0,1.0,,1,2,3,3,0,3,3,2,3,4,0,2,2,4,4,3,3,3,1,2,3,3,4,3,1,2,3,5,1,1,Paisa account mein aata hai toh KPRA dekh leta hai,1,0,1,0,0
KHT-0141,3,5,1,3,1,2,1,1,1,2.0,3.0,4.0,,3,2,3,2,0,1,3,1,3,2,0,2,3,2,1,3,5,4,1,1,2,0,5,2,5,6,3,3,1,1,Registration ka tareeqa bohat mushkil lagta hai,0,0,0,1,1
KHT-0142,3,3,3,4,2,1,2,2,0,,,,3.0,3,2,3,3,1,2,2,2,4,3,0,2,3,2,5,2,2,1,1,4,4,5,4,5,3,4,3,1,3,2,Hamari dukan chhoti hai digital ki zaroorat nahi,0,0,1,0,0
KHT-0143,2,1,4,2,2,1,2,1,1,1.0,2.0,4.0,,3,1,1,3,0,1,2,1,1,4,0,1,3,3,5,3,3,2,2,3,1,0,2,3,4,5,2,1,2,1,Mere grahak cash hi dete hain,1,1,1,0,1
KHT-0144,2,1,3,2,1,1,3,3,0,,,,1.0,2,1,3,1,0,1,3,1,1,3,1,4,3,2,5,2,3,3,4,2,3,5,3,2,5,7,3,1,2,2,Mujhe pata nahi tha ke kaise register karein,0,1,1,0,0
KHT-0145,3,5,4,2,2,1,3,1,0,,,,2.0,3,2,3,1,0,1,3,4,4,1,0,1,1,4,4,2,3,2,2,2,2,6,4,3,2,4,1,2,5,1,Registration ka tareeqa bohat mushkil lagta hai,0,0,1,0,1
KHT-0146,1,4,2,1,1,2,2,2,1,2.0,2.0,3.0,,3,2,1,2,0,3,1,1,4,1,0,2,3,4,4,4,5,4,3,3,4,4,4,1,3,7,3,2,6,2,Fees zyada hain wallets ki,0,0,0,0,0
KHT-0147,3,2,1,2,1,1,2,2,0,,,,3.0,3,2,3,1,0,1,4,1,4,3,0,3,2,3,3,3,5,4,5,3,3,4,4,4,7,6,3,1,2,1,Sab log cash mein karte hain toh main kyun badulon?,0,0,1,0,0
KHT-0148,2,1,4,4,2,1,2,1,1,1.0,2.0,2.0,,3,2,1,1,1,3,3,2,4,2,1,1,4,5,2,1,2,2,3,3,3,5,5,3,5,7,1,4,2,1,Internet sahi nahi hota yahan,1,1,1,0,1
KHT-0149,2,1,1,3,2,1,2,2,1,1.0,3.0,3.0,,3,2,1,2,0,2,1,2,4,4,0,1,4,3,5,4,2,3,3,4,3,3,3,2,7,4,1,2,5,1,Darr hai ke FBR aa jaye ga,1,1,1,0,0
KHT-0150,1,2,2,1,2,1,1,2,0,,,,2.0,2,1,3,1,1,1,1,2,2,2,0,2,2,3,4,1,4,1,1,2,3,0,4,4,1,2,3,2,3,2,Paisa account mein aata hai toh KPRA dekh leta hai,0,0,1,1,0
KHT-0151,3,4,3,2,1,3,3,1,0,,,,3.0,2,2,3,2,0,2,2,1,4,3,0,2,5,3,2,1,4,3,3,2,4,2,5,1,6,4,3,2,5,1,Paisa account mein aata hai toh KPRA dekh leta hai,0,0,0,0,1
KHT-0152,1,4,2,2,1,3,1,2,1,1.0,2.0,1.0,,3,2,2,2,0,1,3,2,4,1,0,1,4,2,2,1,3,2,2,1,4,4,5,1,5,6,1,3,2,1,Mujhe pata nahi tha ke kaise register karein,1,0,0,1,0
KHT-0153,3,6,3,2,3,1,2,1,0,,,,4.0,3,1,3,2,0,1,2,1,4,4,1,1,2,3,5,4,4,3,2,1,4,3,4,2,3,6,3,1,6,2,Mere grahak cash hi dete hain,0,0,1,0,1
KHT-0154,2,6,2,4,3,3,3,3,1,2.0,3.0,3.0,,2,2,2,2,0,1,1,1,4,4,0,1,2,2,4,3,2,3,2,4,3,4,3,2,7,5,3,1,6,2,Mujhe pata nahi tha ke kaise register karein,0,0,0,0,0
KHT-0155,2,1,2,4,2,2,3,1,0,,,,3.0,2,2,3,3,0,3,2,1,4,3,0,2,2,3,3,4,4,3,3,4,2,3,4,2,6,7,3,1,5,2,Internet sahi nahi hota yahan,0,1,0,0,1
KHT-0156,3,1,4,3,1,1,1,2,0,,,,3.0,3,2,3,3,1,2,2,2,4,1,1,2,3,3,5,3,3,2,1,1,2,6,1,3,2,1,3,1,5,1,Hamari dukan chhoti hai digital ki zaroorat nahi,0,1,1,1,0
KHT-0157,1,5,2,4,2,1,2,1,0,,,,3.0,2,2,3,2,1,2,1,3,4,1,0,2,1,4,5,3,3,3,4,3,1,5,5,4,2,6,3,2,5,2,Mujhe pata nahi tha ke kaise register karein,0,0,1,0,1
KHT-0158,1,1,3,2,2,3,2,2,0,,,,3.0,2,2,3,2,0,3,5,1,4,2,0,3,4,3,3,4,5,3,2,1,4,0,5,2,5,1,3,1,5,2,Darr hai ke FBR aa jaye ga,0,1,0,0,0
KHT-0159,1,5,1,2,2,1,3,2,1,1.0,4.0,3.0,,1,2,1,2,0,2,2,2,4,1,0,4,2,5,3,4,4,4,2,3,5,2,4,1,7,2,3,1,4,1,Paisa account mein aata hai toh KPRA dekh leta hai,1,0,1,0,0
KHT-0160,1,3,3,3,4,1,3,1,1,2.0,1.0,2.0,,3,2,3,1,0,1,3,1,4,1,0,3,2,4,2,2,4,4,2,2,1,2,4,1,5,6,3,2,4,2,Jab safe harbour ka pata chala to main ne register kar liya,0,0,1,0,1
KHT-0161,3,6,4,3,3,1,2,1,1,3.0,4.0,2.0,,2,2,3,3,0,1,4,1,2,2,1,3,3,3,4,4,4,5,3,2,4,2,4,4,2,7,3,4,2,1,Mujhe pata nahi tha ke kaise register karein,0,0,1,0,1
KHT-0162,3,1,1,2,1,3,3,1,0,,,,3.0,3,1,3,2,0,2,5,3,4,2,1,1,1,2,3,1,3,3,2,2,2,6,4,1,2,4,3,5,6,1,Internet sahi nahi hota yahan,0,1,0,0,1
KHT-0163,1,5,1,3,1,3,3,1,1,2.0,2.0,2.0,,3,2,3,1,0,2,2,1,4,4,0,1,1,2,3,3,4,4,4,3,3,5,4,2,3,5,3,2,2,2,Mujhe pata nahi tha ke kaise register karein,0,0,0,0,1
KHT-0164,3,1,3,2,1,2,3,1,0,,,,4.0,2,2,3,3,0,1,2,1,4,2,0,1,3,3,2,3,3,2,3,2,4,4,2,1,1,7,3,2,5,1,Fees zyada hain wallets ki,0,1,0,0,1
KHT-0165,1,1,1,1,2,2,2,2,1,1.0,3.0,4.0,,2,1,3,3,0,3,3,3,4,3,0,2,1,4,4,2,4,4,3,1,3,2,3,1,2,3,3,2,5,1,Hamari dukan chhoti hai digital ki zaroorat nahi,1,1,0,0,0
KHT-0166,2,3,3,3,3,3,2,1,0,,,,3.0,3,2,3,1,0,2,2,1,4,2,0,1,3,4,4,3,3,3,2,2,3,1,4,1,7,1,3,5,4,1,Paisa account mein aata hai toh KPRA dekh leta hai,0,0,0,0,1
KHT-0167,2,3,1,4,2,3,2,2,1,3.0,2.0,1.0,,1,2,3,3,0,1,1,3,4,1,0,2,3,5,3,1,2,3,2,1,4,0,3,3,2,7,2,2,4,1,Paisa account mein aata hai toh KPRA dekh leta hai,0,0,0,0,0
KHT-0168,2,1,3,2,2,3,2,1,1,1.0,1.0,2.0,,3,1,1,2,0,1,1,1,4,1,0,1,4,4,2,1,4,1,4,2,5,0,3,2,5,7,3,3,6,2,Internet sahi nahi hota yahan,1,1,0,0,1
KHT-0169,3,2,3,3,2,3,3,2,0,,,,3.0,2,2,3,3,0,1,1,2,3,4,0,1,4,4,4,2,3,5,2,2,5,2,4,1,7,4,3,3,6,2,Fees zyada hain wallets ki,0,0,0,0,0
KHT-0170,3,5,3,4,1,3,3,1,0,,,,3.0,2,2,3,2,0,1,3,1,4,1,0,1,3,1,4,2,4,3,3,3,2,5,5,3,2,4,3,2,5,1,Hamari dukan chhoti hai digital ki zaroorat nahi,0,0,0,0,1
KHT-0171,1,1,1,2,4,2,3,2,0,,,,3.0,3,2,3,3,0,1,3,2,4,1,1,2,2,4,3,4,2,4,3,2,3,2,5,1,5,3,2,2,5,1,Registration ka tareeqa bohat mushkil lagta hai,0,1,0,0,0
KHT-0172,2,5,1,1,1,1,1,2,1,2.0,4.0,4.0,,3,1,1,2,0,3,2,3,4,1,0,3,2,3,3,3,1,3,3,2,3,3,3,1,7,3,3,5,4,2,Sab log cash mein karte hain toh main kyun badulon?,0,0,1,1,0
KHT-0173,2,1,2,2,3,2,1,3,1,3.0,3.0,3.0,,3,1,3,2,0,2,2,2,4,2,0,2,2,3,2,4,2,3,4,2,2,0,3,1,6,5,3,1,7,2,Fees zyada hain wallets ki,0,1,0,1,0
KHT-0174,3,3,4,4,1,3,1,2,0,,,,1.0,3,2,2,3,0,3,4,2,4,3,1,2,3,2,3,1,5,3,3,4,3,5,5,5,3,1,3,2,5,2,Hamari dukan chhoti hai digital ki zaroorat nahi,0,0,0,1,0
KHT-0175,3,3,4,3,4,3,1,1,0,,,,3.0,3,2,3,2,0,1,3,1,4,2,0,1,2,3,3,1,2,3,2,2,4,0,2,1,6,2,2,3,4,1,Internet sahi nahi hota yahan,0,0,0,1,1
KHT-0176,2,2,4,4,1,3,3,2,0,,,,3.0,1,2,3,2,0,2,2,3,4,3,0,1,3,2,4,1,3,4,1,4,2,3,4,2,1,5,2,5,3,1,Internet sahi nahi hota yahan,0,0,0,0,0
KHT-0177,1,2,3,3,1,3,2,2,0,,,,2.0,3,2,3,3,0,2,3,2,4,2,0,1,3,3,2,3,4,4,2,3,4,2,4,1,3,6,3,2,7,2,Jab safe harbour ka pata chala to main ne register kar liya,0,0,0,0,0
KHT-0178,1,1,3,3,1,3,3,2,0,,,,2.0,2,1,3,3,0,2,1,2,4,1,0,2,3,2,3,1,4,3,1,3,3,4,4,1,1,7,2,2,3,1,Hamari dukan chhoti hai digital ki zaroorat nahi,0,1,0,0,0
KHT-0179,2,3,2,1,4,3,2,1,1,1.0,2.0,4.0,,3,2,3,2,0,2,4,2,4,3,0,1,3,2,3,3,3,4,3,3,3,3,3,3,2,4,1,1,7,2,Mujhe pata nahi tha ke kaise register karein,1,0,0,0,1
KHT-0180,2,2,3,1,1,3,2,2,0,,,,4.0,2,1,2,3,0,1,3,1,4,4,0,2,1,4,4,3,4,3,2,1,4,4,4,2,1,3,2,1,2,2,Mere grahak cash hi dete hain,0,0,0,0,0
KHT-0181,3,5,2,2,5,3,3,1,0,,,,3.0,3,1,3,2,0,3,2,3,2,2,0,2,4,3,5,2,4,2,3,1,2,3,5,2,2,5,3,2,6,1,Paisa account mein aata hai toh KPRA dekh leta hai,0,0,0,0,1
KHT-0182,1,2,1,2,1,3,3,2,0,,,,2.0,1,2,3,2,0,2,4,2,4,2,0,2,1,2,5,2,2,4,2,2,4,3,3,2,7,6,2,3,3,1,Fees zyada hain wallets ki,0,0,0,0,0
KHT-0183,2,3,3,2,2,3,3,2,0,,,,3.0,2,2,2,1,1,3,1,1,4,3,0,2,3,3,3,1,3,1,2,1,2,6,4,4,1,5,1,3,6,1,Fees zyada hain wallets ki,0,0,0,0,0
KHT-0184,3,4,2,1,1,1,2,1,1,1.0,3.0,3.0,,2,2,2,1,0,2,3,3,4,4,1,1,2,3,3,1,4,3,2,2,4,2,5,1,5,3,3,4,2,1,Mere grahak cash hi dete hain,1,0,1,0,1
KHT-0185,3,5,4,2,1,2,1,2,1,2.0,4.0,4.0,,3,2,2,2,1,1,2,1,1,2,0,1,3,3,2,3,3,4,1,1,5,3,5,2,2,5,2,3,4,2,Sab log cash mein karte hain toh main kyun badulon?,0,0,0,1,0
KHT-0186,3,6,3,2,4,3,3,1,0,,,,4.0,3,2,3,2,0,3,2,3,4,4,0,1,4,3,2,4,2,3,3,1,3,5,5,3,3,1,3,5,5,1,Darr hai ke FBR aa jaye ga,0,0,0,0,1
KHT-0187,1,6,2,3,2,1,1,1,1,2.0,3.0,2.0,,3,1,2,2,0,2,3,1,4,5,0,1,3,1,2,4,3,3,1,2,3,3,4,2,2,7,3,5,7,2,Paisa account mein aata hai toh KPRA dekh leta hai,0,0,1,1,1
KHT-0188,2,5,1,3,2,3,2,1,1,1.0,2.0,2.0,,2,2,2,3,1,1,3,2,4,2,0,1,3,1,1,3,4,3,2,4,2,4,4,4,6,5,2,4,1,1,Registration ka tareeqa bohat mushkil lagta hai,1,0,0,0,1
KHT-0189,3,2,1,2,2,1,3,1,0,,,,2.0,3,2,3,2,1,3,2,3,4,4,0,3,2,3,3,2,2,2,2,1,2,4,2,4,3,2,3,5,2,1,Fees zyada hain wallets ki,0,0,1,0,1
KHT-0190,2,1,3,2,5,3,1,1,1,3.0,3.0,2.0,,2,2,2,2,0,1,2,1,4,5,0,2,3,2,4,3,3,4,2,1,5,2,3,1,6,2,3,2,2,2,Sab log cash mein karte hain toh main kyun badulon?,0,1,0,1,1
KHT-0191,3,2,4,1,1,3,3,1,0,,,,3.0,3,2,3,2,0,1,3,1,4,1,0,1,2,4,2,2,4,5,1,4,3,0,4,1,7,6,1,2,1,1,Mere grahak cash hi dete hain,0,0,0,0,1
KHT-0192,2,1,2,3,2,3,3,1,1,2.0,1.0,2.0,,3,2,3,1,1,1,2,2,4,3,1,2,2,1,2,1,3,3,3,2,3,3,3,3,1,7,2,1,6,2,Internet sahi nahi hota yahan,0,1,0,0,1
KHT-0193,2,6,1,1,1,3,3,1,0,,,,3.0,2,2,3,2,0,1,4,3,4,2,0,1,3,1,3,4,3,5,3,1,3,2,5,1,6,1,2,2,1,2,Mujhe pata nahi tha ke kaise register karein,0,0,0,0,1
KHT-0194,1,3,1,1,2,1,1,1,1,1.0,1.0,2.0,,3,2,3,2,0,1,3,2,4,2,0,1,2,3,4,3,4,2,3,2,4,1,2,3,5,4,2,1,5,1,Sab log cash mein karte hain toh main kyun badulon?,1,0,1,1,1
KHT-0195,2,1,4,4,3,3,3,1,0,,,,4.0,3,2,3,1,0,1,2,1,2,4,1,2,2,1,2,4,2,4,3,3,3,1,4,2,6,3,3,3,5,1,Fees zyada hain wallets ki,0,1,0,0,1
KHT-0196,1,1,4,3,1,3,1,1,0,,,,3.0,2,2,2,2,0,1,1,3,4,1,1,1,2,2,4,4,4,4,1,3,3,5,4,1,4,2,3,3,7,2,Jab safe harbour ka pata chala to main ne register kar liya,0,1,0,1,1
KHT-0197,3,3,3,2,3,3,3,1,0,,,,3.0,3,2,2,2,1,3,2,3,3,2,0,2,3,4,2,1,2,1,1,3,3,3,5,2,7,4,3,1,2,2,Mujhe pata nahi tha ke kaise register karein,0,0,0,0,1
KHT-0198,1,5,1,2,2,3,1,1,0,,,,3.0,3,1,2,3,0,1,2,2,4,3,1,2,1,1,3,1,3,3,1,4,2,0,3,1,2,5,3,4,6,2,Registration ka tareeqa bohat mushkil lagta hai,0,0,0,1,1
KHT-0199,1,2,3,1,3,1,1,1,1,1.0,3.0,2.0,,2,1,3,1,1,3,3,2,4,5,0,1,4,2,3,3,2,4,3,3,3,5,3,3,6,7,3,2,1,2,Jab safe harbour ka pata chala to main ne register kar liya,1,0,1,1,1
KHT-0200,2,3,3,2,1,3,3,1,0,,,,4.0,2,2,3,3,0,4,1,2,4,2,0,1,4,3,3,1,3,3,2,1,3,0,4,1,4,5,3,2,2,1,Paisa account mein aata hai toh KPRA dekh leta hai,0,0,0,0,1
KHT-0201,3,3,2,3,1,3,2,2,0,,,,2.0,3,2,3,2,0,1,2,1,4,1,0,2,3,1,2,3,1,2,4,3,3,4,3,2,3,4,3,4,5,1,Mujhe pata nahi tha ke kaise register karein,0,0,0,0,0
KHT-0202,3,1,4,2,1,1,3,2,0,,,,4.0,3,2,3,2,0,2,5,1,3,2,0,4,2,2,4,2,3,3,4,3,3,2,3,5,1,4,3,2,5,1,Darr hai ke FBR aa jaye ga,0,1,1,0,0
KHT-0203,1,2,3,2,1,2,3,1,0,,,,3.0,2,2,3,2,1,2,3,2,4,4,0,2,3,4,2,2,4,1,4,4,4,2,2,2,6,1,2,3,6,1,Fees zyada hain wallets ki,0,0,0,0,1
KHT-0204,2,4,2,2,2,1,3,1,0,,,,2.0,1,1,3,3,0,3,3,1,4,1,0,2,2,2,4,2,4,5,4,2,2,0,3,1,2,7,3,2,6,2,Registration ka tareeqa bohat mushkil lagta hai,0,0,1,0,1
KHT-0205,2,2,3,2,1,1,1,1,0,,,,3.0,2,2,3,2,0,2,2,3,4,3,0,1,2,3,1,3,2,5,2,1,3,1,4,2,3,5,2,3,7,2,Mere grahak cash hi dete hain,0,0,1,1,1
KHT-0206,2,1,2,3,2,3,2,1,0,,,,2.0,3,2,1,1,0,2,2,1,4,3,0,2,3,2,2,3,5,3,2,3,2,5,2,1,4,2,3,4,5,2,Darr hai ke FBR aa jaye ga,0,1,0,0,1
KHT-0207,3,4,3,3,2,2,2,1,0,,,,3.0,2,2,3,1,0,4,3,3,3,4,1,2,3,3,3,2,3,4,3,1,4,1,3,1,6,5,2,4,5,1,Fees zyada hain wallets ki,0,0,0,0,1
KHT-0208,1,5,2,2,2,1,3,1,0,,,,4.0,2,2,3,3,0,3,1,1,4,1,0,3,3,4,3,1,4,3,3,2,3,1,5,1,4,2,3,1,2,1,Mujhe pata nahi tha ke kaise register karein,0,0,1,0,1
KHT-0209,1,2,4,2,2,3,3,2,0,,,,3.0,3,2,3,2,1,3,1,1,4,1,1,4,4,3,2,2,4,2,3,2,2,2,3,1,2,4,2,2,2,2,Darr hai ke FBR aa jaye ga,0,0,0,0,0
KHT-0210,2,3,1,3,1,1,2,1,0,,,,3.0,1,2,3,1,0,1,2,1,4,2,1,2,1,4,2,4,3,4,3,3,3,0,2,2,4,5,2,3,7,2,Jab safe harbour ka pata chala to main ne register kar liya,0,0,1,0,1
KHT-0211,1,4,2,1,1,3,2,2,0,,,,3.0,1,2,1,2,1,3,2,2,3,5,1,1,3,2,2,4,5,3,3,3,4,5,3,5,1,2,3,2,2,1,Registration ka tareeqa bohat mushkil lagta hai,0,0,0,0,0
KHT-0212,3,6,1,3,2,3,3,2,1,1.0,5.0,1.0,,1,2,3,2,0,3,3,1,4,4,0,2,2,3,3,4,3,5,2,2,2,0,2,4,2,4,2,2,2,1,Mujhe pata nahi tha ke kaise register karein,1,0,0,0,0
KHT-0213,2,2,1,1,1,1,3,1,0,,,,3.0,1,1,2,1,0,1,3,1,4,3,0,2,2,2,3,2,5,3,3,5,3,4,4,3,1,6,1,3,2,2,Jab safe harbour ka pata chala to main ne register kar liya,0,0,1,0,1
